,DG.PA.Open,DG.PA.High,DG.PA.Low,DG.PA.Close,DG.PA.Volume,DG.PA.Adjusted
2015-01-12,46.665001,47.994999,46.605,47.634998,2374354,41.096863
2015-01-13,47.445,48.459999,47.130001,48.27,2169508,41.644707
2015-01-14,47.32,48.514999,46.985001,47.465,2467135,40.950195
2015-01-15,47.869999,48.560001,45.424999,48.200001,2766378,41.584316
2015-01-16,47.834999,48.125,47.025002,47.794998,2961228,41.234905
2015-01-19,47.785,48.544998,47.455002,48.470001,2167735,41.817253
2015-01-20,48.599998,48.785,47.91,48.18,2430626,41.567055
2015-01-21,48.150002,48.84,47.625,48.825001,2338050,42.123531
2015-01-22,48.814999,49,48.220001,48.73,3336035,42.041569
2015-01-23,49,49.799999,48.494999,49.290001,3126326,42.524708
2015-01-26,48.880001,49.68,48.52,49.525002,1894892,42.727451
2015-01-27,49.380001,49.52,47.02,47.775002,3896776,41.217648
2015-01-28,47.990002,48.07,46.384998,46.990002,3163689,40.540398
2015-01-29,46.645,47.445,46.450001,47.345001,1793592,40.846672
2015-01-30,47.48,47.5,46.634998,46.84,2574462,40.41098
2015-02-02,46.919998,47.439999,46.544998,47.305,1625983,40.812157
2015-02-03,47.744999,48.48,47.549999,48.200001,2257352,41.584316
2015-02-04,48.139999,48.395,47.744999,48.325001,1607767,41.692158
2015-02-05,47.700001,49.900002,47.509998,49.619999,3901334,42.80941
2015-02-06,49.57,49.625,49.099998,49.404999,2180482,42.623924
2015-02-09,49.099998,50.77,49.049999,50.48,4283896,43.551376
2015-02-10,50.84,51.970001,50.650002,51.34,2960358,44.293335
2015-02-11,51.09,51.400002,50.43,51.150002,1745167,44.12941
2015-02-12,50.799999,51.950001,50.68,51.41,2528401,44.353722
2015-02-13,51.889999,52.259998,51.450001,51.709999,2577171,44.612545
2015-02-16,51.560001,53.009998,51.5,52.740002,2903536,45.501183
2015-02-17,52.240002,52.880001,51.52,52.490002,1868834,45.285492
2015-02-18,52.790001,52.799999,52.119999,52.48,1430768,45.276863
2015-02-19,52.32,52.98,51.889999,52.68,1270807,45.449413
2015-02-20,52.599998,53,52.07,52.720001,2025969,45.483921
2015-02-23,53,53.189999,52.740002,52.82,1367898,45.570202
2015-02-24,52.919998,53.32,52.369999,53.16,1400585,45.863529
2015-02-25,53.029999,53.34,52.43,52.889999,1336171,45.630592
2015-02-26,52.66,53.59,52.330002,53.470001,1643514,46.130981
2015-02-27,53.279999,53.32,52.369999,53.02,2893378,45.742748
2015-03-02,52.810001,53.389999,52.639999,53.049999,1456261,45.76862
2015-03-03,52.950001,53.060001,51.82,52.040001,1870161,44.897251
2015-03-04,52.029999,52.84,51.889999,52.740002,1580862,45.501183
2015-03-05,53,53.830002,52.610001,53.650002,1968116,46.286278
2015-03-06,53.759998,54.709999,53.740002,54.150002,2033498,46.717648
2015-03-09,53.869999,54.23,53.630001,54.150002,1487168,46.717648
2015-03-10,54,54.299999,53.27,53.860001,1690596,46.467449
2015-03-11,54.110001,54.880001,53.990002,54.689999,1548366,47.183533
2015-03-12,54.560001,54.669998,53.740002,54.290001,1513327,46.838432
2015-03-13,54.279999,54.400002,53.68,54.27,1175703,46.821178
2015-03-16,54.209999,55.240002,54.110001,54.91,1714238,47.373333
2015-03-17,54.900002,54.970001,53.799999,54.82,1886966,47.295689
2015-03-18,54.810001,54.900002,53.919998,54.529999,1607548,47.04549
2015-03-19,54.599998,55.060001,54.02,54.400002,1581458,46.933334
2015-03-20,54.400002,55.66,54.169998,55.470001,2982394,47.856472
2015-03-23,55.5,55.5,54.540001,54.950001,1636442,47.407845
2015-03-24,54.810001,55.490002,54.68,55.290001,1296954,47.70118
2015-03-25,55.18,55.18,54.200001,54.369999,1829381,46.907455
2015-03-26,54.029999,54.34,53.240002,54.09,1866159,46.665882
2015-03-27,54.16,54.380001,53.709999,54.240002,1422083,46.795296
2015-03-30,54.330002,54.599998,54.02,54.139999,1559663,46.709019
2015-03-31,54.130001,54.560001,53.23,53.23,2780327,45.923923
2015-04-01,53.099998,54.650002,52.73,54.130001,1949774,46.70039
2015-04-02,54.009998,54.349998,53.799999,54.259998,714469,46.812553
2015-04-07,54.48,55.049999,54.41,54.560001,1079277,47.071373
2015-04-08,54.34,54.919998,53.900002,54.509998,1279927,47.028236
2015-04-09,54.799999,55.27,54.720001,55.27,1074706,47.683933
2015-04-10,55.459999,55.610001,54.810001,55.040001,1601355,47.485497
2015-04-13,55.099998,56.669998,54.82,56.560001,2457867,48.796864
2015-04-14,56.490002,56.919998,56.110001,56.450001,2043230,48.701962
2015-04-15,56.450001,57.009998,56.209999,56.669998,1408946,48.891758
