,dates
1016,19/12/2016
1017,20/12/2016
1018,21/12/2016
1019,22/12/2016
1020,23/12/2016
1021,27/12/2016
1022,28/12/2016
1023,29/12/2016
1024,30/12/2016
1025,02/01/2017
1026,03/01/2017
1027,04/01/2017
1028,05/01/2017
1029,06/01/2017
1030,09/01/2017
1031,10/01/2017
1032,11/01/2017
1033,12/01/2017
1034,13/01/2017
1035,16/01/2017
1036,17/01/2017
1037,18/01/2017
1038,19/01/2017
1039,20/01/2017
1040,23/01/2017
1041,24/01/2017
1042,25/01/2017
1043,26/01/2017
1044,27/01/2017
1045,30/01/2017
1046,31/01/2017
1047,01/02/2017
1048,02/02/2017
1049,03/02/2017
1050,06/02/2017
1051,07/02/2017
1052,08/02/2017
1053,09/02/2017
1054,10/02/2017
1055,13/02/2017
1056,14/02/2017
1057,15/02/2017
1058,16/02/2017
1059,17/02/2017
1060,20/02/2017
1061,21/02/2017
1062,22/02/2017
1063,23/02/2017
1064,24/02/2017
1065,27/02/2017
1066,28/02/2017
1067,01/03/2017
1068,02/03/2017
1069,03/03/2017
1070,06/03/2017
1071,07/03/2017
1072,08/03/2017
1073,09/03/2017
1074,10/03/2017
1075,13/03/2017
1076,14/03/2017
1077,15/03/2017
1078,16/03/2017
1079,17/03/2017
1080,20/03/2017
1081,21/03/2017
1082,22/03/2017
1083,23/03/2017
1084,24/03/2017
1085,27/03/2017
1086,28/03/2017
1087,29/03/2017
1088,30/03/2017
1089,31/03/2017
1090,03/04/2017
1091,04/04/2017
1092,05/04/2017
1093,06/04/2017
1094,07/04/2017
1095,10/04/2017
1096,11/04/2017
1097,12/04/2017
1098,13/04/2017
1099,18/04/2017
1100,19/04/2017
1101,20/04/2017
1102,21/04/2017
1103,24/04/2017
1104,25/04/2017
1105,26/04/2017
1106,27/04/2017
1107,28/04/2017
1108,02/05/2017
1109,03/05/2017
1110,04/05/2017
1111,05/05/2017
1112,08/05/2017
1113,09/05/2017
1114,10/05/2017
1115,11/05/2017
1116,12/05/2017
1117,15/05/2017
1118,16/05/2017
1119,17/05/2017
1120,18/05/2017
1121,19/05/2017
1122,22/05/2017
1123,23/05/2017
1124,24/05/2017
1125,25/05/2017
1126,26/05/2017
1127,29/05/2017
1128,30/05/2017
1129,31/05/2017
1130,01/06/2017
1131,02/06/2017
1132,05/06/2017
1133,06/06/2017
1134,07/06/2017
1135,08/06/2017
1136,09/06/2017
1137,12/06/2017
1138,13/06/2017
1139,14/06/2017
1140,15/06/2017
1141,16/06/2017
1142,19/06/2017
1143,20/06/2017
1144,21/06/2017
1145,22/06/2017
1146,23/06/2017
1147,26/06/2017
1148,27/06/2017
1149,28/06/2017
1150,29/06/2017
1151,30/06/2017
1152,03/07/2017
1153,04/07/2017
1154,05/07/2017
1155,06/07/2017
1156,07/07/2017
1157,10/07/2017
1158,11/07/2017
1159,12/07/2017
1160,13/07/2017
1161,14/07/2017
1162,17/07/2017
1163,18/07/2017
1164,19/07/2017
1165,20/07/2017
1166,21/07/2017
1167,24/07/2017
1168,25/07/2017
1169,26/07/2017
1170,27/07/2017
1171,28/07/2017
1172,31/07/2017
1173,01/08/2017
1174,02/08/2017
1175,03/08/2017
1176,04/08/2017
1177,07/08/2017
1178,08/08/2017
1179,09/08/2017
1180,10/08/2017
1181,11/08/2017
1182,14/08/2017
1183,15/08/2017
1184,16/08/2017
1185,17/08/2017
1186,18/08/2017
1187,21/08/2017
1188,22/08/2017
1189,23/08/2017
1190,24/08/2017
1191,25/08/2017
1192,28/08/2017
1193,29/08/2017
1194,30/08/2017
1195,31/08/2017
1196,01/09/2017
1197,04/09/2017
1198,05/09/2017
1199,06/09/2017
1200,07/09/2017
1201,08/09/2017
1202,11/09/2017
1203,12/09/2017
1204,13/09/2017
