,BNP.PA.Open,BNP.PA.High,BNP.PA.Low,BNP.PA.Close,BNP.PA.Volume,BNP.PA.Adjusted
2017-03-09,59.330002,61.169998,59.220001,60.790001,5616477,51.471436
2017-03-10,60.959999,62.240002,60.84,61.860001,6413094,52.377415
2017-03-13,61.299999,61.98,61.139999,61.18,3102950,51.801655
2017-03-14,61.220001,61.32,59.650002,59.849998,4114290,50.675529
2017-03-15,59.380001,60.220001,59.279999,60.09,3492638,50.878738
2017-03-16,61.220001,62,60.52,60.689999,5451293,51.386761
2017-03-17,60.869999,61.869999,60.060001,60.279999,6076097,51.039616
2017-03-20,60.029999,60.43,59.599998,59.650002,2123537,50.506187
2017-03-21,60.349998,61.849998,60.040001,60.259998,4120914,51.022678
2017-03-22,59.41,60.860001,58.959999,60.290001,3657229,51.04808
2017-03-23,60.549999,61.540001,59.950001,61.099998,3635753,51.733917
2017-03-24,61.099998,61.110001,60.220001,60.459999,2643444,51.192024
2017-03-27,59.400002,60.59,59.16,60.360001,2867677,51.107353
2017-03-28,60.580002,62.07,60.299999,61.919998,3658366,52.428215
2017-03-29,62.450001,62.779999,61.450001,62.040001,4058229,52.529823
2017-03-30,62.799999,62.799999,61.09,61.799999,3106664,52.326611
2017-03-31,61.490002,62.43,61.279999,62.43,4030526,52.860043
2017-04-03,62.48,62.5,60.599998,61.220001,3344854,51.835522
2017-04-04,61.060001,61.369999,60.040001,60.709999,3359772,51.403702
2017-04-05,60.98,61.400002,60.099998,60.099998,4681167,50.887207
2017-04-06,59.580002,60.799999,59.049999,60.75,3907978,51.437569
2017-04-07,60.669998,61.139999,60.290001,60.900002,2703926,51.564575
2017-04-10,60.93,60.970001,59.82,60,2942441,50.802536
2017-04-11,59.5,60.23,59.009998,59.389999,4574423,50.286041
2017-04-12,59.650002,59.959999,58.720001,59.099998,3248594,50.040497
2017-04-13,59.25,59.25,57.900002,58.299999,4836489,49.363129
2017-04-18,58.5,58.740002,57.240002,57.32,5836104,48.533356
2017-04-19,57.470001,58.720001,57.299999,58.34,4987203,49.396999
2017-04-20,58.110001,60.959999,57.860001,60.650002,7687773,51.352898
2017-04-21,60.889999,62.279999,60.25,62,9830775,52.495956
2017-04-24,68,68.400002,65.940002,66.660004,15635826,56.44162
2017-04-25,66.870003,67.440002,66.449997,66.949997,5475011,56.68716
2017-04-26,66.5,66.720001,65.599998,65.800003,5537058,55.713451
2017-04-27,65.519997,65.599998,64.639999,64.989998,4839559,55.027611
2017-04-28,64.589996,65.769997,64.400002,64.779999,4471038,54.849804
2017-05-02,64.800003,65.769997,64.800003,65.769997,4603584,55.688042
2017-05-03,66.099998,66.360001,65.43,66.150002,4251092,56.0098
2017-05-04,65,66.669998,64.889999,66.370003,16917032,56.196075
2017-05-05,65.949997,68,65.830002,67.879997,7417648,57.474602
2017-05-08,68.169998,68.199997,66.370003,66.839996,9427090,56.594021
2017-05-09,67.900002,67.900002,66.379997,66.660004,4960753,56.44162
2017-05-10,66.599998,67.230003,65.830002,66.779999,3944703,56.543221
2017-05-11,67.139999,67.18,65.839996,66.410004,4500596,56.229942
2017-05-12,66.199997,66.800003,65.949997,66.559998,3123427,56.356941
2017-05-15,67,67.07,66.010002,67.07,3542313,56.788769
2017-05-16,67.199997,67.540001,66.75,67.209999,3225549,56.907303
2017-05-17,66.690002,67.419998,64.849998,65.110001,4902431,55.129219
2017-05-18,64.800003,65.610001,63.599998,64.360001,6779991,54.494186
2017-05-19,64.699997,65.879997,64.400002,65.669998,5064001,55.603374
2017-05-22,66.019997,66.169998,65.410004,65.459999,3327832,55.425564
2017-05-23,65.199997,66.779999,65.019997,66.18,3776186,56.035202
2017-05-24,66.279999,66.900002,65.769997,66.839996,3396154,56.594021
2017-05-25,67.099998,67.339996,66.510002,66.559998,2793722,56.356941
2017-05-26,66.519997,66.68,65.260002,66.389999,3753319,56.213005
2017-05-29,66.209999,66.589996,65.809998,66.349998,2266692,56.179138
2017-05-30,63.099998,63.610001,62.619999,63.599998,5403406,56.135006
2017-05-31,63.700001,64.07,62.799999,62.82,5190374,55.44656
2017-06-01,63,63.18,62.09,62.990002,3333051,55.596607
2017-06-02,63.849998,64.489998,63.09,63.400002,4343283,55.958481
2017-06-05,63.400002,63.689999,62.639999,63.099998,1771291,55.693691
2017-06-06,62.689999,62.939999,61.959999,62.450001,3271002,55.119987
2017-06-07,62.34,64.349998,62.23,63.48,4585164,56.029091
2017-06-08,63.82,64.480003,62.830002,63.720001,4052677,56.240921
2017-06-09,64.050003,64.940002,63.389999,64.510002,4733126,56.938198
2017-06-12,64.470001,64.900002,63.040001,63.389999,3405206,55.949654
2017-06-13,63.75,63.919998,63.09,63.349998,2565311,55.914349
2017-06-14,63.73,64,62.27,62.400002,3996069,55.075855
2017-06-15,62.240002,62.369999,61.080002,61.849998,5378476,54.590408
2017-06-16,62.380001,62.880001,61.68,62.049999,10471570,54.766937
2017-06-19,62.860001,63.599998,62.75,63.060001,3238334,55.65839
2017-06-20,63.5,63.68,62.549999,62.549999,2552864,55.208248
2017-06-21,62.290001,62.419998,61.110001,62.139999,4040572,54.846371
2017-06-22,61.91,62,61.18,61.93,3356928,54.661022
2017-06-23,62.16,62.509998,61.18,61.5,2919202,54.28149
2017-06-26,61.799999,62.459999,61.389999,61.599998,2765463,54.369751
2017-06-27,61.529999,63.07,61.080002,62.650002,4960829,55.296513
2017-06-28,62.549999,64.559998,62.16,64.330002,5874039,56.779327
2017-06-29,64.940002,65.459999,63.639999,63.970001,5940081,56.461578
2017-06-30,64.099998,64.449997,62.82,63.060001,4945911,55.65839
2017-07-03,63.490002,64.940002,63.400002,64.940002,4643571,57.317726
2017-07-04,64.550003,65.300003,64.519997,64.68,2708977,57.088242
2017-07-05,64.900002,65.190002,64.260002,64.470001,3638074,56.902893
2017-07-06,64.550003,65.660004,64.059998,65.339996,4822785,57.670773
2017-07-07,65.949997,66.190002,65.18,65.519997,3635307,57.829643
2017-07-10,65.949997,66.050003,65.089996,65.559998,2444378,57.864948
2017-07-11,65.879997,66.029999,65.040001,65.260002,2590408,57.600166
2017-07-12,65.629997,66.470001,65.269997,65.989998,3705806,58.24448
2017-07-13,66.080002,67.120003,65.959999,66.919998,3212170,59.065323
