date,FP.PA,MC.PA,SAN.PA,AIR.PA,OR.PA
23/01/2014,32.325428,110.133812,57.045238,49.304203,114.141846
24/01/2014,31.55998,109.036407,54.655083,47.400288,112.166138
27/01/2014,31.188299,108.202408,54.806839,47.38232,110.549644
28/01/2014,31.460625,108.948631,54.791668,49.241341,110.729263
29/01/2014,31.177261,108.290207,54.177052,48.100784,109.292389
30/01/2014,31.563658,107.543968,55.679436,47.777481,108.753555
31/01/2014,31.162535,116.0158,55.239342,47.247616,109.561806
03/02/2014,30.739332,113.777153,54.913074,46.681828,109.382187
04/02/2014,30.643656,114.259987,54.290871,46.843483,108.43924
05/02/2014,30.823984,114.435577,54.101166,45.909485,108.529045
06/02/2014,31.416464,117.376549,52.659485,46.879406,110.908875
07/02/2014,31.777102,117.815529,53.668671,47.157806,110.908875
10/02/2014,31.607817,117.200996,54.624729,47.103924,115.848145
11/02/2014,32.078876,118.078911,54.66267,48.136703,112.07634
12/02/2014,32.384312,117.508255,55.072414,47.813404,110.504753
13/02/2014,32.384312,117.113182,54.882717,46.816544,110.86396
14/02/2014,32.708149,118.34227,55.558029,47.777481,110.41494
17/02/2014,32.597752,118.693413,55.398689,47.328442,109.831207
18/02/2014,32.708149,119.17627,55.550446,47.579899,109.471992
19/02/2014,32.700798,119.615227,55.755318,47.454174,109.651604
20/02/2014,33.03936,120.405342,55.823612,47.211693,110.055725
21/02/2014,33.561932,120.668709,56.149876,47.041054,109.606705
24/02/2014,34.029285,121.809998,56.643097,47.660725,110.684364
25/02/2014,34.1544,120.580933,56.544445,47.696651,112.435547
26/02/2014,34.264805,118.649529,57.181828,48.468998,110.953781
27/02/2014,34.106567,119.044609,57.159058,48.298359,110.100632
28/02/2014,34.614414,118.386162,57.159058,47.948112,110.235336
03/03/2014,34.018253,115.050102,55.687023,46.430367,108.394341
04/03/2014,34.607048,116.893692,57.515682,47.921169,110.639458
05/03/2014,34.537136,116.1036,57.105957,47.373344,109.112785
06/03/2014,34.63649,115.576836,57.371532,47.561939,109.112785
07/03/2014,33.959373,115.576836,56.832787,46.08012,108.214729
10/03/2014,34.224331,115.313484,56.976959,45.343704,107.855515
11/03/2014,34.139687,114.918404,56.180225,45.226952,108.035118
12/03/2014,34.032967,113.250397,55.239342,44.99345,106.553352
13/03/2014,33.646561,112.591957,54.435032,45.00243,104.622543
14/03/2014,33.856327,111.275101,54.101166,44.867722,104.891953
17/03/2014,34.205929,112.372482,54.890301,45.226952,105.026657
18/03/2014,34.831532,113.338181,55.117935,45.397583,104.802147
19/03/2014,34.805779,112.635864,55.54285,46.098087,104.847054
20/03/2014,34.768974,113.513771,55.5732,47.14883,104.487846
21/03/2014,35.008171,113.206482,56.536865,46.609985,103.634689
24/03/2014,34.527489,112.767532,55.823612,45.963371,103.455078
25/03/2014,34.87775,115.269608,57.083183,46.708771,104.981758
26/03/2014,35.399426,116.366959,57.379105,47.472134,106.149216
27/03/2014,35.690083,116.674232,56.992134,46.879406,106.598244
28/03/2014,35.794411,117.420456,57.515682,47.238636,107.720795
31/03/2014,35.473965,115.840218,57.424633,46.690811,107.496284
01/04/2014,35.686359,117.903297,56.961784,47.481113,107.092163
02/04/2014,35.652821,117.815529,56.901077,47.139843,107.36158
03/04/2014,35.77206,117.244888,57.508106,47.705627,106.957458
04/04/2014,36.282555,117.332672,57.553623,48.49593,107.36158
07/04/2014,35.704983,117.157074,56.931431,47.885239,106.598244
08/04/2014,35.995636,118.561745,57.758503,46.116035,106.328835
09/04/2014,36.24902,119.790802,58.008904,45.819675,106.283928
10/04/2014,35.690083,123.653618,57.310818,44.966511,106.059418
11/04/2014,35.567116,123.960892,56.445808,44.737499,105.475685
14/04/2014,36.591835,126.497047,56.931431,44.010063,108.394341
15/04/2014,36.509861,126.363564,56.165054,44.059456,109.561806
16/04/2014,36.517311,127.208977,56.734142,45.43351,109.651604
17/04/2014,36.725983,126.986488,57.272877,46.098087,108.978065
22/04/2014,37.072521,127.342445,58.524868,46.134007,109.741409
23/04/2014,36.647724,126.630547,58.464169,45.747833,109.606705
24/04/2014,37.221584,126.941994,58.122719,45.693954,109.427094
25/04/2014,36.990551,126.319077,57.788849,45.262875,109.69651
28/04/2014,37.486141,126.052086,58.540047,45.262875,110.684364
29/04/2014,38.372986,124.850784,58.562813,44.98447,111.830162
30/04/2014,38.365532,126.141121,59.200195,44.445629,113.663452
01/05/2014,38.365532,126.141121,59.200195,44.445629,113.663452
02/05/2014,37.896023,125.295715,58.904259,44.230087,113.755112
05/05/2014,38.112144,125.162216,59.526463,44.126812,113.571785
06/05/2014,37.799145,124.583809,59.177425,43.866371,113.342628
07/05/2014,38.529488,124.672798,59.609921,43.605927,113.938446
08/05/2014,39.55793,126.986488,59.996914,43.641853,115.542564
09/05/2014,38.946823,126.230118,59.473339,43.700222,116.000885
12/05/2014,39.021355,127.475937,60.472706,44.445629,116.184204
13/05/2014,38.581657,127.208977,60.401878,47.184746,115.955048
14/05/2014,38.685997,126.719528,60.818935,46.672848,116.321701
15/05/2014,38.074886,127.742905,60.394012,45.667004,116.871681
16/05/2014,38.760517,127.92086,60.779583,45.235935,118.246643
19/05/2014,38.864853,126.675064,60.818935,46.089104,118.338318
20/05/2014,38.335724,127.031006,60.590733,45.442486,117.421677
21/05/2014,38.849945,128.098862,60.968445,45.244911,117.742485
22/05/2014,38.790318,127.742905,60.913357,45.846622,117.742485
23/05/2014,38.969181,127.386917,61.070736,46.331581,117.421677
26/05/2014,39.237476,128.365829,61.416965,46.475269,117.742485
27/05/2014,38.887215,128.721817,61.495655,47.364372,117.879997
28/05/2014,38.604019,128.321335,61.377617,47.705627,116.871681
29/05/2014,38.544395,128.588287,61.298931,47.960697,118.29248
30/05/2014,38.365532,129.878647,61.723869,47.924259,117.330009
02/06/2014,38.818039,128.766251,61.527138,48.543694,116.642525
03/06/2014,38.659664,129.077713,61.361885,47.988022,117.192505
04/06/2014,38.146816,129.255722,61.676628,47.869602,117.284164
05/06/2014,38.787872,129.700623,62.04649,48.716774,117.192505
06/06/2014,39.164963,127.475937,62.274666,48.908062,116.459213
09/06/2014,39.24794,127.653908,62.195988,48.479927,116.963348
10/06/2014,39.157425,128.677307,62.731091,49.072037,118.29248
11/06/2014,39.006599,128.944214,62.463535,47.559879,117.879997
12/06/2014,39.511902,128.81076,62.455666,47.222836,117.467499
13/06/2014,39.866367,128.499313,62.683872,46.712715,117.513336
16/06/2014,39.534519,128.454803,62.164509,46.038624,116.413368
17/06/2014,39.572235,129.389175,62.589447,46.220814,116.963348
18/06/2014,39.858818,128.899734,62.258942,45.656029,116.825851
19/06/2014,40.48481,129.656143,62.589447,46.093277,117.513336
20/06/2014,40.688435,129.656143,63.045841,45.719795,118.567482
23/06/2014,40.899597,129.47818,62.565838,44.95916,116.871681
24/06/2014,41.118317,129.789658,62.479267,44.635784,117.23835
25/06/2014,40.326427,127.876404,61.747471,44.681332,116.275871
26/06/2014,39.919159,125.696144,61.133686,44.2122,115.3134
27/06/2014,39.76078,124.895271,61.173035,44.899952,115.405075
30/06/2014,39.806038,125.295715,61.047134,44.581123,115.35923
01/07/2014,40.19067,125.473701,61.243858,43.674751,115.405075
02/07/2014,39.971951,124.539307,61.015667,43.078083,115.130066
