date,AI.PA,BN.PA,DG.PA,BNP.PA,SAF.PA
11/06/2014,76.830086,47.728443,47.970043,40.332783,45.28933
12/06/2014,76.4422,47.238113,48.132019,40.427052,45.371201
13/06/2014,76.333656,46.555149,47.90184,40.458477,44.679897
16/06/2014,75.736313,46.345009,47.475594,40.521328,44.461594
17/06/2014,76.636147,46.756538,47.552322,41.016251,45.020996
18/06/2014,76.480995,46.852848,47.526749,40.843422,44.884556
19/06/2014,76.830086,47.273136,48.464485,41.000542,44.861816
20/06/2014,76.581841,47.299404,47.952995,40.214939,44.693542
23/06/2014,75.899254,46.957928,47.654613,40.034252,43.783924
24/06/2014,76.426689,47.465767,47.083447,39.751434,43.297291
25/06/2014,75.899254,46.896633,46.972614,39.067959,43.129009
26/06/2014,75.286476,47.877289,46.972614,38.600529,43.26091
27/06/2014,75.573463,47.719688,46.921474,38.81657,44.120495
30/06/2014,76.480995,47.492035,46.546368,38.922623,43.492859
01/07/2014,77.318718,48.23629,46.409969,40.324921,43.524696
02/07/2014,77.256699,48.052414,46.3503,40.073528,42.669662
03/07/2014,78.420204,48.78791,46.213898,40.262077,43.051704
04/07/2014,78.808006,48.551502,46.111599,39.437195,43.206329
07/07/2014,77.838448,48.052414,45.182377,38.977619,42.333111
08/07/2014,77.000732,47.69342,44.074131,38.148811,42.001099
09/07/2014,77.799637,48.069927,44.287254,37.995617,41.218842
10/07/2014,76.36467,47.194332,43.929199,37.465332,41.841923
11/07/2014,76.67495,47.789738,44.184956,37.991688,42.633282
14/07/2014,77.194588,47.903564,44.35545,38.317715,42.701496
15/07/2014,76.209534,48.3326,44.005928,37.885632,42.246693
16/07/2014,77.334229,49.786079,44.849895,38.639812,42.228504
17/07/2014,76.077614,49.199432,44.202,38.188087,41.955624
18/07/2014,76.36467,49.208191,44.790226,38.435555,41.891949
21/07/2014,76.100899,48.928001,44.270203,38.219513,41.832829
22/07/2014,76.977432,49.864883,45.557472,38.302002,41.655457
23/07/2014,76.287056,49.558426,45.557472,38.498402,41.855568
24/07/2014,77.10157,49.01556,45.958145,39.122955,42.078415
25/07/2014,75.72081,48.210018,45.131222,38.950123,41.519016
28/07/2014,76.287056,48.621544,45.063026,39.001186,41.205193
29/07/2014,77.054962,48.796665,45.293194,39.311501,40.927765
30/07/2014,76.550819,48.18375,44.952202,39.185802,40.832253
31/07/2014,73.704079,47.360695,44.005928,38.887276,39.9272
01/08/2014,72.610397,47.273136,41.222527,39.091526,39.949936
04/08/2014,72.276901,47.2206,41.026451,39.429337,40.109119
05/08/2014,73.277466,47.518303,40.834641,38.863708,40.554825
06/08/2014,73.370583,47.421989,40.497902,38.435555,40.482056
07/08/2014,72.160484,47.054237,39.526054,37.842422,40.177334
08/08/2014,72.230301,46.528881,39.879833,37.685303,40.222824
11/08/2014,73.16114,46.677738,40.881527,37.728516,41.382568
12/08/2014,72.71122,46.467598,40.340191,37.630314,41.287056
13/08/2014,73.812706,46.415058,40.493641,38.286289,41.978363
14/08/2014,73.603264,46.616444,40.382809,38.148811,42.537773
15/08/2014,73.005997,46.327499,39.952305,37.964195,42.132988
18/08/2014,73.781693,46.66898,40.412651,38.231297,42.988022
19/08/2014,74.177299,46.563904,40.57888,38.345211,43.047146
20/08/2014,74.006653,46.397545,40.57888,38.15667,42.746979
21/08/2014,74.534096,46.765293,41.329082,38.800858,43.142658
22/08/2014,73.804909,46.161137,40.82185,38.549469,43.279106
25/08/2014,75.643288,47.150551,41.648769,39.460762,44.739029
26/08/2014,76.271561,47.413231,41.925827,40.301353,44.839073
27/08/2014,75.961266,47.168064,41.998291,40.662731,44.984615
28/08/2014,75.426125,46.704006,41.968452,40.43491,45.025543
29/08/2014,75.426125,46.528881,42.411755,40.364212,45.375744
01/09/2014,75.3097,46.887878,42.079285,40.364212,45.36665
02/09/2014,75.185661,47.045483,41.797958,40.592026,45.316628
03/09/2014,75.930252,47.465767,42.347813,41.464046,45.462154
04/09/2014,77.109268,48.428917,41.593361,42.658157,46.253513
05/09/2014,76.527512,48.113705,40.817585,42.477474,47.02668
08/09/2014,76.4655,47.947342,40.561844,42.422478,46.57188
09/09/2014,76.170723,47.719688,40.25494,41.89613,46.544586
