A1;A2;A3;A4;A5;A6;A7;A8;A9;A10
51,759998;53,73;53,75;52,32;2519023;47,014114;0,074;0,7442;0,4487441;-0,04
52,740002;52,369999;52,619999;50,970001;3134271;46,484249;0,07;0,7461;0,4487441;-0,04
51,950001;51,049999;53,200001;50,709999;5078971;47,364372;0,076;0,743;0,4487441;-0,04
53,209999;52,5;52,720001;51,740002;2479068;46,654888;0,079;0,7422;0,4487441;-0,04
52,360001;53,27;53,970001;53;3006263;47,786457;0,084;0,7394;0,4487441;-0,04
52,18;53,16;53,200001;52,299999;1661002;47,023098;0,086;0,7393;0,4487441;-0,04
51,41;52,360001;52,389999;51,860001;1346379;46,861443;0,091;0,7427;0,4487441;-0,04
51,740002;51,970001;51,970001;50,810001;1998864;46,169926;0,108;0,7428;0,4487441;-0,04
52,23;51,290001;51,799999;51,16;1575006;46,466293;0,117;0,7396;0,4487441;-0,04
51,529999;52,09;52,66;52;1242264;46,906345;0,132;0,7405;0,4487441;-0,04
52,369999;52,23;52,380001;51,529999;2068869;46,277695;0,131;0,7374;0,4487441;-0,04
52,669998;51,700001;52,5;51,68;1648019;47,032082;0,123;0,7368;0,4487441;-0,04
52,259998;52,490002;52,740002;52,200001;900327;47,301495;0,127;0,7353;0,4487441;-0,04
53,099998;52,650002;52,73;52,259998;1065573;46,933289;0,277;0,7344;0,4487441;-0,04
51,130001;52,330002;53,119999;52,16;1508227;47,687672;0,112;0,7377;0,4487441;0,34
50,639999;52,919998;53;51,119999;2246193;45,918468;0,117;0,7359;0,4487441;0,34
49,895;51,310001;52,189999;50,419998;2708665;45,478416;0,126;0,7377;0,4487441;0,34
50,080002;50,639999;50,98;49,895;2345572;44,809345;0,127;0,7322;0,4487441;0,34
50,490002;50;50,630001;49,509998;2047433;44,975491;0,127;0,7308;0,4487441;0,34
49,18;50,419998;50,630001;49,75;2263147;45,343704;0,125;0,7289;0,4487441;0,34
52,860001;50,490002;50,68;48,68;3709883;44,167229;0,131;0,7262;0,4487441;0,34
53,52;48,915001;53,290001;48,82;6298555;47,472134;0,144;0,7251;0,4487441;0,34
53,93;52,970001;54,060001;52,200001;3920211;48,064861;0,139;0,7271;0,4487441;0,34
55,419998;53,48;54,349998;53,119999;2520940;48,433075;0,15;0,7283;0,4487441;0,34
54,439999;54;55,650002;53,720001;2828929;49,771198;0,183;0,7271;0,4487441;0,34
55;55,209999;55,349998;54,439999;1662717;48,891087;0,206;0,7283;0,4487441;0,34
55,84;54,599998;55,189999;54,400002;1959369;49,394005;0,176;0,7266;0,4487441;0,34
55,900002;55,540001;56,580002;55,02;2189815;50,148392;0,159;0,7316;0,4487441;0,34
55,91;55,799999;56,400002;55,290001;3188628;50,202278;0,161;0,7315;0,4487441;0,34
56,150002;55,889999;56,02;55,330002;1038147;50,211254;0,158;0,7296;0,4487441;0,34
56,240002;56,099998;56,59;55,919998;263456;50,426792;0,171;0,731;0,4487441;0,34
55,73;56,599998;56,66;55,66;1391177;50,507618;0,192;0,7259;0,4487441;0,34
55,810001;56,34;56,490002;55,490002;1068150;50,049603;0,223;0,724;0,4487441;0,34
56,549999;55,68;56,049999;55,650002;357259;50,121452;0,446;0,7263;0,4487441;0,34
56,400002;56,040001;56,849998;55,68;1875512;50,786018;0,152;0,7322;0,3005685;-0,56
55,43;56,790001;56,900002;56,290001;1333141;50,651314;0,111;0,7346;0,3005685;-0,56
55,91;56,549999;56,549999;55,400002;1664844;49,780182;0,096;0,733;0,3005685;-0,56
55,349998;55,900002;55,959999;55,02;1950728;50,211254;0,099;0,735;0,3005685;-0,56
54,709999;56;56,099998;54,919998;1837218;49,708336;0,137;0,7353;0,3005685;-0,56
55,279999;55,25;55,75;54,560001;1891736;49,133568;0,156;0,7361;0,3005685;-0,56
55,779999;55,130001;55,400002;54,889999;1546833;49,645466;0,154;0,7314;0,3005685;-0,56
56,099998;55,52;55,950001;55,52;1376794;50,094505;0,153;0,7324;0,3005685;-0,56
56,639999;55,349998;56,099998;55,009998;1783292;50,381886;0,147;0,7306;0,3005685;-0,56
56,990002;56,23;56,639999;56;2071765;50,866848;0,21;0,7355;0,3005685;-0,56
57,029999;56,400002;57,009998;56,23;3706175;51,181171;0,3;0,7353;0,3005685;-0,56
57,009998;57;57,119999;56,830002;2265980;51,217098;0,343;0,7376;0,3005685;-0,56
57;57;57,259998;56,880001;1191117;51,199135;0,359;0,7373;0,3005685;-0,56
57,099998;57,150002;57,220001;56,82;1401657;51,190155;0,351;0,7384;0,3005685;-0,56
54,900002;57,099998;57,330002;56,900002;1878025;51,279961;0,238;0,7372;0,3005685;-0,56
52,779999;56,740002;56,889999;54,369999;3807263;49,304203;0,21;0,7309;0,3005685;-0,56
52,759998;55,110001;55,450001;52,759998;5389498;47,400288;0,191;0,7307;0,3005685;-0,56
54,830002;52,490002;52,98;51,91;4122234;47,38232;0,188;0,7314;0,3005685;-0,56
53,560001;53,23;55,560001;53,150002;4630335;49,241341;0,179;0,7319;0,3005685;-0,56
53,200001;55,5;55,549999;52,84;4086681;48,100784;0,157;0,7329;0,3005685;-0,56
52,610001;53,77;53,77;52,240002;3424838;47,777481;0,155;0,7373;0,3005685;-0,56
51,98;53,07;53,220001;51,810001;2972858;47,247616;0,228;0,7416;0,3005685;-0,56
52,16;52,709999;53,41;51,98;3076103;46,681828;0,14;0,7398;0,3005685;0,55
51,119999;51,580002;52,450001;51,119999;2928233;46,843483;0,133;0,7402;0,3005685;0,55
52,200001;51,950001;52,200001;51,029999;2706276;45,909485;0,145;0,739;0,3005685;0,55
52,509998;51,57;52,419998;51,02;3828370;46,879406;0,132;0,7353;0,3005685;0,55
52,450001;52,139999;52,599998;51,779999;2534569;47,157806;0,131;0,7343;0,3005685;0,55
53,599998;52,799999;53,369999;52,200001;1912240;47,103924;0,127;0,7327;0,3005685;0,55
53,240002;52,610001;53,73;52,610001;2436105;48,136703;0,122;0,7312;0,3005685;0,55
52,130001;53,400002;53,650002;52,669998;2378859;47,813404;0,17;0,7359;0,3005685;0,55
53,200001;53,130001;53,169998;51,32;3610104;46,816544;0,159;0,7318;0,3005685;0,55
52,700001;52,07;53,32;52,07;2344846;47,777481;0,144;0,7307;0,3005685;0,55
52,98;53,439999;53,52;52,389999;1080275;47,328442;0,15;0,7299;0,3005685;0,55
52,84;52,84;53,080002;52,450001;1875071;47,579899;0,153;0,7273;0,3005685;0,55
52,57;52,75;53,139999;52,290001;2075277;47,454174;0,164;0,7271;0,3005685;0,55
52,380001;52,169998;52,73;51,790001;2398654;47,211693;0,169;0,7293;0,3005685;0,55
53,07;52,740002;52,91;51,860001;2027528;47,041054;0,171;0,7275;0,3005685;0,55
53,110001;52,279999;53,07;52,240002;1688500;47,660725;0,169;0,7285;0,3005685;0,55
53,970001;52,93;53,5;52,82;2551572;47,696651;0,166;0,7281;0,3005685;0,55
53,779999;53,700001;55;52,5;5671497;48,468998;0,168;0,7317;0,3005685;0,55
