res <- geneticProgramming(  functionSet = Fset,
+                             inputVariables = Var,
+                             constantSet = cFset,
+                             fitnessFunction = fF,
+                             stopCondition = makeTimeStopCondition(300))
STARTING genetic programming evolution run (Age/Fitness/Complexity Pareto GP search-heuristic) ...
evolution step 17200, fitness evaluations: 859950, best fitness: 0.000418, time elapsed: 2 minutes, 19.03 seconds
evolution step 17300, fitness evaluations: 864950, best fitness: 0.000418, time elapsed: 2 minutes, 19.81 seconds
evolution step 17400, fitness evaluations: 869950, best fitness: 0.000418, time elapsed: 2 minutes, 20.57 seconds
evolution step 17500, fitness evaluations: 874950, best fitness: 0.000418, time elapsed: 2 minutes, 21.37 seconds
evolution step 17600, fitness evaluations: 879950, best fitness: 0.000418, time elapsed: 2 minutes, 22.12 seconds
evolution step 17700, fitness evaluations: 884950, best fitness: 0.000418, time elapsed: 2 minutes, 22.92 seconds
evolution step 17800, fitness evaluations: 889950, best fitness: 0.000418, time elapsed: 2 minutes, 23.61 seconds
evolution step 17900, fitness evaluations: 894950, best fitness: 0.000418, time elapsed: 2 minutes, 24.37 seconds
evolution step 18000, fitness evaluations: 899950, best fitness: 0.000418, time elapsed: 2 minutes, 25.14 seconds
evolution step 18100, fitness evaluations: 904950, best fitness: 0.000418, time elapsed: 2 minutes, 25.86 seconds
evolution step 18200, fitness evaluations: 909950, best fitness: 0.000418, time elapsed: 2 minutes, 26.64 seconds
evolution step 18300, fitness evaluations: 914950, best fitness: 0.000418, time elapsed: 2 minutes, 27.43 seconds
evolution step 18400, fitness evaluations: 919950, best fitness: 0.000418, time elapsed: 2 minutes, 28.2 seconds
evolution step 18500, fitness evaluations: 924950, best fitness: 0.000418, time elapsed: 2 minutes, 29 seconds
evolution step 18600, fitness evaluations: 929950, best fitness: 0.000418, time elapsed: 2 minutes, 29.78 seconds
evolution step 18700, fitness evaluations: 934950, best fitness: 0.000418, time elapsed: 2 minutes, 30.53 seconds
evolution step 18800, fitness evaluations: 939950, best fitness: 0.000418, time elapsed: 2 minutes, 31.28 seconds
evolution step 18900, fitness evaluations: 944950, best fitness: 0.000418, time elapsed: 2 minutes, 32.01 seconds
evolution step 19000, fitness evaluations: 949950, best fitness: 0.000418, time elapsed: 2 minutes, 32.79 seconds
evolution step 19100, fitness evaluations: 954950, best fitness: 0.000418, time elapsed: 2 minutes, 33.54 seconds
evolution step 19200, fitness evaluations: 959950, best fitness: 0.000418, time elapsed: 2 minutes, 34.23 seconds
evolution step 19300, fitness evaluations: 964950, best fitness: 0.000418, time elapsed: 2 minutes, 34.97 seconds
evolution step 19400, fitness evaluations: 969950, best fitness: 0.000418, time elapsed: 2 minutes, 35.72 seconds
evolution step 19500, fitness evaluations: 974950, best fitness: 0.000418, time elapsed: 2 minutes, 36.47 seconds
evolution step 19600, fitness evaluations: 979950, best fitness: 0.000418, time elapsed: 2 minutes, 37.18 seconds
evolution step 19700, fitness evaluations: 984950, best fitness: 0.000418, time elapsed: 2 minutes, 37.9 seconds
evolution step 19800, fitness evaluations: 989950, best fitness: 0.000418, time elapsed: 2 minutes, 38.61 seconds
evolution step 19900, fitness evaluations: 994950, best fitness: 0.000418, time elapsed: 2 minutes, 39.32 seconds
evolution step 20000, fitness evaluations: 999950, best fitness: 0.000418, time elapsed: 2 minutes, 40.07 seconds
evolution step 20100, fitness evaluations: 1004950, best fitness: 0.000418, time elapsed: 2 minutes, 40.82 seconds
