A1;A2;A3;A4;A5;A6;A7;A8;A9;A10
51,610001;51,27;51,5;51,080002;1291426;43,688301;0,153;0,7324;0,3005685;-0,56
51,720001;50,549999;51,610001;50,549999;1845648;43,935177;0,147;0,7306;0,3005685;-0,56
51,119999;50,860001;51,720001;50,599998;2294224;44,028816;0,21;0,7355;0,3005685;-0,56
50,689999;51,59;51,700001;50,93;1647292;43,51804;0,3;0,7353;0,3005685;-0,56
51,060001;51,25;51,419998;50,450001;1954525;43,151985;0,343;0,7376;0,3005685;-0,56
52,110001;50,540001;51,07;50,450001;1204244;43,466969;0,359;0,7373;0,3005685;-0,56
52,98;51,119999;52,32;51,119999;1938321;44,360821;0,351;0,7384;0,3005685;-0,56
52,220001;52,150002;53,220001;52,150002;1852000;45,101444;0,238;0,7372;0,3005685;-0,56
50,810001;52,880001;53,310001;51,939999;1771453;44,454464;0,21;0,7309;0,3005685;-0,56
50,860001;52,220001;52,509998;50,740002;2769348;43,254143;0,191;0,7307;0,3005685;-0,56
50,259998;51;51,299999;50,68;1924750;43,296707;0,188;0,7314;0,3005685;-0,56
49,66;51,139999;51,139999;50,099998;2043535;42,785931;0,179;0,7319;0,3005685;-0,56
49,435001;50,490002;50,720001;49,029999;3149553;42,275158;0,157;0,7329;0,3005685;-0,56
49,005001;49,555;49,564999;48,884998;1843759;42,083618;0,155;0,7373;0,3005685;-0,56
49,325001;49,355;49,73;48,330002;3094367;41,71756;0,228;0,7416;0,3005685;-0,56
48,700001;49,389999;49,860001;49,07;2539395;41,989971;0,14;0,7398;0,3005685;0,55
48,825001;49,125;49,325001;48,619999;1847611;41,457916;0,133;0,7402;0,3005685;0,55
49,825001;48,575001;49,119999;48,5;1637548;41,564323;0,145;0,739;0,3005685;0,55
49,599998;48,785;49,849998;48,580002;2479914;42,415615;0,132;0,7353;0,3005685;0,55
50,029999;49,790001;49,799999;49,244999;2338973;42,224075;0,131;0,7343;0,3005685;0,55
50,299999;49,529999;50,07;49,529999;1458580;42,590126;0,127;0,7327;0,3005685;0,55
50,040001;50,029999;50,470001;50,029999;1692025;42,819981;0,122;0,7312;0,3005685;0,55
50,439999;50,380001;50,48;50,009998;1573229;42,598648;0,17;0,7359;0,3005685;0,55
50,360001;50,599998;50,900002;50,220001;1786236;42,939163;0,159;0,7318;0,3005685;0,55
50,470001;50,380001;50,459999;50,009998;1131428;42,871063;0,144;0,7307;0,3005685;0,55
50,380001;50,560001;50,599998;50,279999;763040;42,964699;0,15;0,7299;0,3005685;0,55
50,959999;50,400002;50,48;49,834999;1231470;42,888088;0,153;0,7273;0,3005685;0,55
51,700001;50,049999;51,299999;50,029999;2102962;43,381836;0,164;0,7271;0,3005685;0,55
50,950001;51,5;52,459999;50,59;3491452;44,011795;0,169;0,7293;0,3005685;0,55
50,939999;51,68;51,869999;50,75;2745403;43,373318;0,171;0,7275;0,3005685;0,55
51,380001;50,68;50,959999;50,639999;1710945;43,364807;0,169;0,7285;0,3005685;0,55
51,43;50,740002;51,459999;50,639999;1672720;43,739376;0,166;0,7281;0,3005685;0,55
51,32;51,400002;51,580002;50,950001;1355745;43,78194;0,168;0,7317;0,3005685;0,55
51,18;51,470001;51,759998;51;1465959;43,688301;0,162;0,7309;0,3005685;0,55
